Date,HT,AT,HS,AS
27/3/2009,Huachipato,Cobreloa,3,2
28/3/2009,Iquique,Universidad de Concepcion,1,1
28/3/2009,La Serena,Palestino,0,3
28/3/2009,Rangers,Unión Española,1,3
28/3/2009,Santiago Morning,Curicó,0,1
8/4/2009,O'Higgins,Ñublense,1,0
9/4/2009,Universidad Catolica,Audax Italiano,0,2
13/5/2009,Colo Colo,Everton,1,1
21/5/2009,Cobresal,Universidad de Chile,3,2
9/4/2009,Everton,Huachipato,5,1
11/4/2009,Universidad de Chile,Santiago Morning,1,3
11/4/2009,Universidad de Concepcion,Cobresal,3,1
11/4/2009,Unión Española,O'Higgins,2,1
12/4/2009,Curicó,Cobreloa,2,0
12/4/2009,Iquique,Rangers,1,1
12/4/2009,Ñublense,Colo Colo,2,0
12/4/2009,Universidad Catolica,Palestino,4,1
12/4/2009,Audax Italiano,La Serena,1,2
17/4/2009,Huachipato,Iquique,3,1
18/4/2009,O'Higgins,Audax Italiano,1,2
18/4/2009,Rangers,Universidad Catolica,2,1
19/4/2009,Cobreloa,Everton,1,0
19/4/2009,Cobresal,La Serena,2,2
19/4/2009,Curicó,Universidad de Concepcion,0,1
19/4/2009,Palestino,Ñublense,1,1
19/4/2009,Santiago Morning,Unión Española,1,3
19/4/2009,Universidad de Chile,Colo Colo,1,3
25/4/2009,Universidad de Concepcion,Universidad de Chile,1,1
25/4/2009,Colo Colo,Huachipato,2,2
25/4/2009,Iquique,O'Higgins,3,1
26/4/2009,Audax Italiano,Cobreloa,0,0
26/4/2009,La Serena,Santiago Morning,1,4
26/4/2009,Palestino,Rangers,1,0
26/4/2009,Ñublense,Curicó,1,1
26/4/2009,Universidad Catolica,Unión Española,1,1
6/5/2009,Everton,Cobresal,1,1
2/5/2009,Cobreloa,Colo Colo,2,0
2/5/2009,Cobresal,Iquique,2,5
2/5/2009,Universidad de Chile,La Serena,3,2
2/5/2009,Huachipato,Ñublense,3,1
2/5/2009,Everton,Palestino,1,1
3/5/2009,Rangers,Audax Italiano,0,1
3/5/2009,Santiago Morning,Universidad Catolica,0,1
3/5/2009,O'Higgins,Curicó,5,3
3/5/2009,Unión Española,Universidad de Concepcion,2,1
9/5/2009,Santiago Morning,Rangers,2,1
9/5/2009,Huachipato,Palestino,4,1
9/5/2009,Colo Colo,Cobresal,5,2
9/5/2009,Audax Italiano,Everton,0,1
9/5/2009,La Serena,O'Higgins,1,2
10/5/2009,Curicó,Unión Española,1,3
10/5/2009,Universidad Catolica,Universidad de Chile,0,1
10/5/2009,Ñublense,Universidad de Concepcion,2,3
10/5/2009,Cobreloa,Iquique,0,2
15/5/2009,Universidad de Concepcion,Universidad Catolica,0,2
16/5/2009,Cobresal,Audax Italiano,1,0
16/5/2009,Palestino,Colo Colo,1,0
16/5/2009,Unión Española,Ñublense,1,2
16/5/2009,O'Higgins,Santiago Morning,3,2
16/5/2009,Iquique,La Serena,2,0
17/5/2009,Universidad de Chile,Huachipato,1,3
17/5/2009,Rangers,Cobreloa,4,1
17/5/2009,Everton,Curicó,3,2
10/7/2009,Audax Italiano,Ñublense,2,1
11/7/2009,La Serena,Rangers,2,0
11/7/2009,O'Higgins,Cobresal,2,0
11/7/2009,Universidad de Concepcion,Huachipato,2,4
12/7/2009,Cobreloa,Santiago Morning,3,0
12/7/2009,Colo Colo,Curicó,1,1
12/7/2009,Universidad Catolica,Iquique,2,0
22/7/2009,Palestino,Universidad de Chile,0,0
23/7/2009,Unión Española,Everton,0,1
17/7/2009,O'Higgins,Palestino,0,1
18/7/2009,Colo Colo,La Serena,2,1
18/7/2009,Huachipato,Unión Española,1,2
18/7/2009,Santiago Morning,Audax Italiano,0,1
19/7/2009,Cobresal,Universidad Catolica,1,1
19/7/2009,Curicó,Iquique,1,1
19/7/2009,Everton,Universidad de Concepcion,0,1
19/7/2009,Ñublense,Cobreloa,1,2
19/7/2009,Universidad de Chile,Rangers,3,5
25/7/2009,Audax Italiano,Palestino,2,2
25/7/2009,Universidad de Concepcion,Colo Colo,1,3
26/7/2009,Cobreloa,Universidad de Chile,0,3
26/7/2009,Curicó,Huachipato,1,0
26/7/2009,Iquique,Everton,1,2
26/7/2009,Rangers,O'Higgins,2,0
26/7/2009,Santiago Morning,Ñublense,3,1
26/7/2009,Unión Española,Cobresal,1,0
26/7/2009,Universidad Catolica,La Serena,2,0
