Date,HT,AT,HS,AS
2/11/2013,Cobresal,O'Higgins,0,4
2/11/2013,Union Calera,Universidad de Chile,0,3
2/11/2013,Unión Española,Wanderers,3,1
2/11/2013,Audax Italiano,Everton,4,1
3/11/2013,Antofagasta,Huachipato,1,0
3/11/2013,Iquique,Ñublense,4,1
3/11/2013,Universidad Catolica,Cobreloa,2,1
8/11/2013,O'Higgins,Cobreloa,1,0
9/11/2013,Unión Española,Union Calera,1,0
9/11/2013,Palestino,Cobresal,2,1
9/11/2013,Wanderers,Rangers,0,3
9/11/2013,Everton,Universidad Catolica,0,2
9/11/2013,Huachipato,Universidad de Concepcion,0,0
9/11/2013,Iquique,Audax Italiano,2,1
10/11/2013,Colo Colo,Universidad de Chile,3,2
10/11/2013,Ñublense,Antofagasta,2,1
22/11/2013,Universidad de Concepcion,Unión Española,0,1
22/11/2013,Rangers,Iquique,0,0
23/11/2013,Palestino,Ñublense,3,6
23/11/2013,Antofagasta,Universidad Catolica,2,0
23/11/2013,Union Calera,O'Higgins,1,2
24/11/2013,Wanderers,Colo Colo,0,0
24/11/2013,Cobresal,Audax Italiano,3,1
24/11/2013,Cobreloa,Everton,1,2
24/11/2013,Universidad de Chile,Huachipato,1,0
29/11/2013,Huachipato,Union Calera,0,1
29/11/2013,Antofagasta,Cobreloa,0,0
29/11/2013,Audax Italiano,Rangers,2,0
30/11/2013,O'Higgins,Unión Española,1,0
30/11/2013,Cobresal,Wanderers,1,1
30/11/2013,Universidad de Chile,Universidad de Concepcion,1,1
30/11/2013,Iquique,Palestino,0,1
1/12/2013,Universidad Catolica,Colo Colo,1,0
1/12/2013,Ñublense,Everton,1,0
6/12/2013,Everton,Huachipato,2,3
7/12/2013,Rangers,O'Higgins,3,4
7/12/2013,Union Calera,Universidad Catolica,0,2
8/12/2013,Wanderers,Antofagasta,1,1
8/12/2013,Colo Colo,Ñublense,2,0
8/12/2013,Cobreloa,Universidad de Chile,2,2
8/12/2013,Palestino,Audax Italiano,1,2
8/12/2013,Unión Española,Cobresal,4,1
8/12/2013,Universidad de Concepcion,Iquique,1,1
3/1/2014,O'Higgins,Iquique,1,0
3/1/2014,Wanderers,Huachipato,4,2
4/1/2014,Palestino,Everton,4,0
4/1/2014,Universidad de Concepcion,Cobreloa,1,0
4/1/2014,Rangers,Universidad de Chile,0,1
4/1/2014,Unión Española,Antofagasta,1,1
5/1/2014,Cobresal,Union Calera,1,5
5/1/2014,Ñublense,Universidad Catolica,1,2
5/1/2014,Colo Colo,Audax Italiano,2,1
9/1/2014,Audax Italiano,Wanderers,2,0
10/1/2014,Huachipato,Rangers,3,2
10/1/2014,Universidad de Chile,Palestino,0,1
10/1/2014,Iquique,Cobresal,2,0
11/1/2014,Union Calera,Universidad de Concepcion,0,2
11/1/2014,Universidad Catolica,Unión Española,1,0
11/1/2014,Antofagasta,O'Higgins,0,0
12/1/2014,Cobreloa,Ñublense,3,1
12/1/2014,Everton,Colo Colo,0,2
13/1/2014,Wanderers,Palestino,2,2
14/1/2014,Cobresal,Universidad de Chile,2,1
14/1/2014,Universidad de Concepcion,Universidad Catolica,2,1
14/1/2014,O'Higgins,Audax Italiano,1,1
15/1/2014,Rangers,Everton,3,0
15/1/2014,Cobreloa,Huachipato,1,1
15/1/2014,Unión Española,Iquique,1,1
15/1/2014,Ñublense,Union Calera,2,0
15/1/2014,Colo Colo,Antofagasta,1,1
24/1/2014,Palestino,Universidad de Concepcion,1,0
25/1/2014,Huachipato,Unión Española,1,2
25/1/2014,Antofagasta,Cobresal,1,0
25/1/2014,Union Calera,Rangers,3,1
25/1/2014,Audax Italiano,Universidad Catolica,1,1
25/1/2014,Iquique,Colo Colo,2,5
26/1/2014,Everton,O'Higgins,0,2
26/1/2014,Universidad de Chile,Ñublense,5,0
27/1/2014,Wanderers,Cobreloa,2,2
31/1/2014,Universidad de Concepcion,Everton,2,3
31/1/2014,Universidad Catolica,Palestino,5,3
1/2/2014,O'Higgins,Wanderers,2,0
1/2/2014,Union Calera,Iquique,0,2
1/2/2014,Unión Española,Ñublense,3,2
2/2/2014,Cobresal,Rangers,2,2
2/2/2014,Cobreloa,Audax Italiano,2,0
2/2/2014,Antofagasta,Universidad de Chile,1,3
2/2/2014,Colo Colo,Huachipato,5,3
7/2/2014,Rangers,Cobreloa,2,1
7/2/2014,Audax Italiano,Union Calera,0,1
8/2/2014,Cobresal,Universidad Catolica,0,1
8/2/2014,Palestino,O'Higgins,1,1
8/2/2014,Everton,Antofagasta,1,1
9/2/2014,Wanderers,Universidad de Chile,2,1
9/2/2014,Huachipato,Iquique,0,1
9/2/2014,Ñublense,Universidad de Concepcion,3,1
9/2/2014,Unión Española,Colo Colo,1,4
14/2/2014,Cobreloa,Unión Española,1,1
14/2/2014,Colo Colo,Rangers,3,1
15/2/2014,Union Calera,Palestino,2,3
15/2/2014,Universidad de Concepcion,Cobresal,1,1
15/2/2014,Universidad Catolica,Huachipato,7,1
15/2/2014,Iquique,Wanderers,3,1
15/2/2014,Antofagasta,Audax Italiano,0,1
16/2/2014,Ñublense,O'Higgins,0,2
16/2/2014,Universidad de Chile,Everton,2,1
21/2/2014,Audax Italiano,Universidad de Chile,3,3
21/2/2014,Huachipato,Ñublense,1,0
22/2/2014,Rangers,Universidad de Concepcion,0,0
22/2/2014,O'Higgins,Universidad Catolica,2,0
22/2/2014,Unión Española,Everton,1,3
22/2/2014,Iquique,Antofagasta,3,2
23/2/2014,Cobresal,Cobreloa,3,0
23/2/2014,Wanderers,Union Calera,1,0
23/2/2014,Palestino,Colo Colo,1,2
27/2/2014,Universidad Catolica,Iquique,1,0
28/2/2014,Colo Colo,Cobresal,3,2
1/3/2014,Universidad de Chile,Unión Española,3,3
1/3/2014,Antofagasta,Union Calera,2,3
1/3/2014,Huachipato,O'Higgins,1,0
1/3/2014,Audax Italiano,Universidad de Concepcion,2,2
2/3/2014,Cobreloa,Palestino,0,1
2/3/2014,Everton,Wanderers,2,1
2/3/2014,Ñublense,Rangers,1,0
6/3/2014,Palestino,Huachipato,2,1
6/3/2014,Wanderers,Ñublense,1,1
6/3/2014,Unión Española,Audax Italiano,3,2
8/3/2014,Universidad de Concepcion,Antofagasta,1,1
8/3/2014,O'Higgins,Universidad de Chile,1,0
8/3/2014,Iquique,Cobreloa,5,2
9/3/2014,Union Calera,Colo Colo,1,5
9/3/2014,Cobresal,Everton,2,0
9/3/2014,Rangers,Universidad Catolica,0,2
14/3/2014,Huachipato,Cobresal,1,0
15/3/2014,Cobreloa,Colo Colo,0,0
15/3/2014,Universidad de Chile,Iquique,3,1
15/3/2014,Ñublense,Audax Italiano,2,1
16/3/2014,Rangers,Antofagasta,1,3
16/3/2014,O'Higgins,Universidad de Concepcion,0,0
17/3/2014,Wanderers,Universidad Catolica,0,2
18/3/2014,Everton,Union Calera,1,0
26/3/2014,Palestino,Unión Española,1,2
21/3/2014,Audax Italiano,Huachipato,0,0
22/3/2014,Universidad de Concepcion,Wanderers,2,1
22/3/2014,Antofagasta,Palestino,2,1
23/3/2014,Universidad Catolica,Universidad de Chile,0,3
23/3/2014,Unión Española,Rangers,4,0
23/3/2014,Cobresal,Ñublense,2,1
23/3/2014,Union Calera,Cobreloa,0,1
23/3/2014,Colo Colo,O'Higgins,3,0
23/3/2014,Iquique,Everton,2,0
29/3/2014,Universidad de Chile,Union Calera,0,1
29/3/2014,Palestino,Rangers,0,0
29/3/2014,Cobreloa,Universidad Catolica,2,1
29/3/2014,Wanderers,Unión Española,4,0
30/3/2014,O'Higgins,Cobresal,3,2
30/3/2014,Huachipato,Antofagasta,4,1
30/3/2014,Ñublense,Iquique,3,0
30/3/2014,Colo Colo,Universidad de Concepcion,1,2
30/3/2014,Everton,Audax Italiano,1,1
4/4/2014,Antofagasta,Ñublense,1,0
5/4/2014,Cobreloa,O'Higgins,2,1
5/4/2014,Rangers,Wanderers,1,0
5/4/2014,Universidad de Concepcion,Huachipato,1,1
5/4/2014,Universidad Catolica,Everton,3,1
6/4/2014,Universidad de Chile,Colo Colo,0,1
6/4/2014,Union Calera,Unión Española,4,0
6/4/2014,Audax Italiano,Iquique,3,0
6/4/2014,Cobresal,Palestino,1,1
11/4/2014,Iquique,Rangers,0,1
11/4/2014,Audax Italiano,Cobresal,1,3
12/4/2014,Unión Española,Universidad de Concepcion,2,1
12/4/2014,Everton,Cobreloa,2,0
12/4/2014,Universidad Catolica,Antofagasta,2,0
12/4/2014,O'Higgins,Union Calera,0,0
13/4/2014,Colo Colo,Wanderers,1,0
13/4/2014,Huachipato,Universidad de Chile,5,2
13/4/2014,Ñublense,Palestino,0,2
19/4/2014,Rangers,Audax Italiano,0,2
19/4/2014,Palestino,Iquique,0,1
19/4/2014,Universidad de Concepcion,Universidad de Chile,1,0
19/4/2014,Unión Española,O'Higgins,1,3
19/4/2014,Union Calera,Huachipato,0,6
20/4/2014,Colo Colo,Universidad Catolica,2,0
20/4/2014,Cobreloa,Antofagasta,0,1
20/4/2014,Everton,Ñublense,1,1
21/4/2014,Wanderers,Cobresal,2,0
25/4/2014,O'Higgins,Rangers,1,1
26/4/2014,Universidad Catolica,Union Calera,1,1
26/4/2014,Huachipato,Everton,0,0
26/4/2014,Audax Italiano,Palestino,1,1
26/4/2014,Iquique,Universidad de Concepcion,0,1
26/4/2014,Antofagasta,Wanderers,1,1
27/4/2014,Cobresal,Unión Española,2,0
27/4/2014,Ñublense,Colo Colo,3,5
27/4/2014,Universidad de Chile,Cobreloa,0,4
19/7/2014,San Marcos,Colo Colo,1,1
19/7/2014,Universidad Catolica,Antofagasta,1,0
19/7/2014,Wanderers,Barnechea,3,0
19/7/2014,Audax Italiano,Unión Española,0,1
20/7/2014,Palestino,Cobreloa,1,2
20/7/2014,Union Calera,O'Higgins,1,2
20/7/2014,Huachipato,Ñublense,3,0
20/7/2014,Iquique,Universidad de Concepcion,1,1
20/7/2014,Universidad de Chile,Cobresal,3,1
25/7/2014,Antofagasta,Audax Italiano,0,0
26/7/2014,Universidad de Concepcion,Huachipato,0,1
26/7/2014,O'Higgins,Universidad de Chile,1,3
26/7/2014,Barnechea,Union Calera,0,3
26/7/2014,Unión Española,Universidad Catolica,1,0
27/7/2014,Ñublense,San Marcos,2,1
27/7/2014,Cobreloa,Wanderers,1,2
27/7/2014,Cobresal,Palestino,0,1
27/7/2014,Colo Colo,Iquique,2,0
1/8/2014,Union Calera,Antofagasta,3,1
2/8/2014,Palestino,Ñublense,2,2
2/8/2014,Universidad de Chile,Wanderers,3,2
2/8/2014,Universidad Catolica,Cobreloa,5,1
2/8/2014,O'Higgins,Universidad de Concepcion,2,2
2/8/2014,San Marcos,Unión Española,2,1
3/8/2014,Iquique,Cobresal,2,2
3/8/2014,Huachipato,Colo Colo,1,3
3/8/2014,Audax Italiano,Barnechea,3,1
8/8/2014,Unión Española,Union Calera,2,0
9/8/2014,Palestino,Audax Italiano,1,0
9/8/2014,Ñublense,Universidad Catolica,2,1
9/8/2014,Antofagasta,Universidad de Chile,0,3
9/8/2014,Wanderers,Iquique,2,0
10/8/2014,Colo Colo,O'Higgins,2,3
10/8/2014,Cobresal,Huachipato,2,2
10/8/2014,Cobreloa,Universidad de Concepcion,0,2
10/8/2014,Barnechea,San Marcos,1,0
15/8/2014,Iquique,Universidad de Chile,2,2
15/8/2014,Huachipato,Palestino,2,0
15/8/2014,Audax Italiano,Cobresal,2,2
16/8/2014,Universidad de Concepcion,Barnechea,3,2
16/8/2014,Union Calera,Ñublense,3,2
16/8/2014,O'Higgins,Cobreloa,4,1
16/8/2014,San Marcos,Antofagasta,1,0
17/8/2014,Colo Colo,Unión Española,2,0
17/8/2014,Universidad Catolica,Wanderers,0,1
22/8/2014,Wanderers,Audax Italiano,2,2
23/8/2014,Universidad de Chile,Huachipato,2,1
23/8/2014,Ñublense,O'Higgins,1,1
23/8/2014,Unión Española,Universidad de Concepcion,0,0
23/8/2014,Antofagasta,Iquique,1,0
24/8/2014,Barnechea,Colo Colo,0,3
24/8/2014,Cobreloa,Union Calera,1,1
24/8/2014,Cobresal,San Marcos,0,0
24/8/2014,Palestino,Universidad Catolica,2,1
28/8/2014,Unión Española,Universidad de Chile,0,1
29/8/2014,San Marcos,Palestino,1,0
30/8/2014,Colo Colo,Antofagasta,4,0
30/8/2014,Huachipato,Wanderers,4,0
31/8/2014,Universidad Catolica,O'Higgins,2,2
31/8/2014,Universidad de Concepcion,Union Calera,1,1
31/8/2014,Cobresal,Cobreloa,2,1
31/8/2014,Iquique,Barnechea,1,0
31/8/2014,Audax Italiano,Ñublense,0,1
12/9/2014,Union Calera,Iquique,1,1
13/9/2014,Wanderers,Cobresal,4,1
13/9/2014,Universidad Catolica,San Marcos,2,0
13/9/2014,O'Higgins,Unión Española,1,3
14/9/2014,Palestino,Colo Colo,1,3
14/9/2014,Ñublense,Barnechea,0,1
14/9/2014,Cobreloa,Audax Italiano,0,1
14/9/2014,Antofagasta,Huachipato,2,2
14/9/2014,Universidad de Chile,Universidad de Concepcion,1,0
27/9/2014,Universidad de Concepcion,Wanderers,1,3
27/9/2014,Audax Italiano,Universidad de Chile,2,3
27/9/2014,Barnechea,O'Higgins,1,2
27/9/2014,Unión Española,Antofagasta,1,0
27/9/2014,San Marcos,Cobreloa,0,1
28/9/2014,Cobresal,Universidad Catolica,0,1
28/9/2014,Iquique,Palestino,2,4
28/9/2014,Colo Colo,Ñublense,0,0
11/10/2014,Huachipato,Union Calera,0,4
3/10/2014,Audax Italiano,Iquique,2,1
4/10/2014,Union Calera,Cobresal,2,1
4/10/2014,O'Higgins,Palestino,0,1
4/10/2014,Universidad Catolica,Huachipato,0,3
5/10/2014,Antofagasta,Ñublense,2,0
5/10/2014,Cobreloa,Barnechea,1,2
5/10/2014,Universidad de Concepcion,Colo Colo,0,1
5/10/2014,Universidad de Chile,San Marcos,2,0
12/10/2014,Wanderers,Unión Española,1,0
18/10/2014,Palestino,Wanderers,0,1
18/10/2014,Ñublense,Universidad de Concepcion,2,1
18/10/2014,Barnechea,Universidad Catolica,1,0
18/10/2014,Iquique,O'Higgins,0,0
18/10/2014,San Marcos,Union Calera,2,1
19/10/2014,Colo Colo,Universidad de Chile,2,0
19/10/2014,Cobresal,Antofagasta,1,1
19/10/2014,Unión Española,Cobreloa,2,1
20/10/2014,Huachipato,Audax Italiano,1,2
24/10/2014,Ñublense,Unión Española,3,1
25/10/2014,Universidad de Concepcion,Cobresal,3,2
25/10/2014,Wanderers,San Marcos,2,1
25/10/2014,Universidad Catolica,Audax Italiano,2,1
25/10/2014,O'Higgins,Huachipato,3,0
26/10/2014,Union Calera,Colo Colo,0,2
26/10/2014,Cobreloa,Iquique,3,3
26/10/2014,Antofagasta,Barnechea,1,1
26/10/2014,Universidad de Chile,Palestino,2,1
31/10/2014,Wanderers,O'Higgins,1,0
1/11/2014,Universidad de Chile,Universidad Catolica,3,0
1/11/2014,Palestino,Antofagasta,3,1
1/11/2014,Huachipato,Cobreloa,2,0
1/11/2014,Barnechea,Unión Española,1,0
1/11/2014,San Marcos,Universidad de Concepcion,0,0
2/11/2014,Iquique,Ñublense,1,1
2/11/2014,Cobresal,Colo Colo,0,1
2/11/2014,Audax Italiano,Union Calera,2,2
7/11/2014,O'Higgins,San Marcos,3,1
8/11/2014,Unión Española,Iquique,2,5
8/11/2014,Cobreloa,Universidad de Chile,0,4
8/11/2014,Union Calera,Universidad Catolica,1,0
8/11/2014,Barnechea,Huachipato,3,0
9/11/2014,Ñublense,Cobresal,2,3
9/11/2014,Universidad de Concepcion,Palestino,0,1
9/11/2014,Antofagasta,Wanderers,0,2
9/11/2014,Colo Colo,Audax Italiano,2,1
21/11/2014,Antofagasta,Cobreloa,2,1
21/11/2014,Huachipato,Unión Española,1,3
22/11/2014,Universidad de Chile,Barnechea,1,1
22/11/2014,Wanderers,Ñublense,2,1
22/11/2014,San Marcos,Iquique,1,0
23/11/2014,Palestino,Union Calera,3,2
23/11/2014,Universidad Catolica,Colo Colo,1,2
23/11/2014,Cobresal,O'Higgins,3,1
23/11/2014,Audax Italiano,Universidad de Concepcion,4,1
28/11/2014,O'Higgins,Audax Italiano,1,1
29/11/2014,Iquique,Universidad Catolica,3,2
29/11/2014,San Marcos,Huachipato,1,2
30/11/2014,Universidad de Concepcion,Antofagasta,1,0
30/11/2014,Colo Colo,Cobreloa,4,1
30/11/2014,Ñublense,Universidad de Chile,0,3
30/11/2014,Union Calera,Wanderers,0,1
30/11/2014,Barnechea,Cobresal,1,3
1/12/2014,Unión Española,Palestino,2,5
5/12/2014,Cobreloa,Ñublense,4,2
5/12/2014,Universidad Catolica,Universidad de Concepcion,2,2
6/12/2014,Universidad de Chile,Union Calera,1,0
6/12/2014,Wanderers,Colo Colo,2,0
6/12/2014,Huachipato,Iquique,5,0
7/12/2014,Antofagasta,O'Higgins,2,1
7/12/2014,Cobresal,Unión Española,1,3
7/12/2014,Palestino,Barnechea,2,0
7/12/2014,Audax Italiano,San Marcos,3,0
2/1/2015,O'Higgins,Union Calera,2,1
3/1/2015,Cobresal,Universidad de Chile,1,1
3/1/2015,Ñublense,Huachipato,3,1
4/1/2015,Antofagasta,Universidad Catolica,2,3
4/1/2015,Universidad de Concepcion,Iquique,3,1
4/1/2015,Colo Colo,San Marcos,0,1
5/1/2015,Unión Española,Audax Italiano,0,2
7/1/2015,Cobreloa,Palestino,3,0
7/1/2015,Barnechea,Wanderers,0,2
9/1/2015,Huachipato,Universidad de Concepcion,1,2
9/1/2015,Audax Italiano,Antofagasta,1,1
10/1/2015,Universidad de Chile,O'Higgins,3,0
10/1/2015,Union Calera,Barnechea,3,0
10/1/2015,San Marcos,Ñublense,0,0
11/1/2015,Iquique,Colo Colo,3,2
11/1/2015,Palestino,Cobresal,0,1
11/1/2015,Universidad Catolica,Unión Española,0,0
11/1/2015,Wanderers,Cobreloa,0,1
16/1/2015,Cobreloa,Universidad Catolica,1,3
17/1/2015,Universidad de Concepcion,O'Higgins,2,1
17/1/2015,Wanderers,Universidad de Chile,3,2
17/1/2015,Unión Española,San Marcos,1,2
18/1/2015,Ñublense,Palestino,0,3
18/1/2015,Cobresal,Iquique,4,2
18/1/2015,Antofagasta,Union Calera,3,4
18/1/2015,Colo Colo,Huachipato,2,2
19/1/2015,Barnechea,Audax Italiano,0,0
30/1/2015,Huachipato,Cobresal,2,1
30/1/2015,Iquique,Wanderers,2,1
31/1/2015,Union Calera,Unión Española,2,0
31/1/2015,Universidad de Concepcion,Cobreloa,3,2
31/1/2015,Universidad de Chile,Antofagasta,1,3
31/1/2015,Audax Italiano,Palestino,1,2
31/1/2015,San Marcos,Barnechea,0,0
1/2/2015,O'Higgins,Colo Colo,0,2
1/2/2015,Universidad Catolica,Ñublense,2,1
3/2/2015,Universidad de Chile,Iquique,2,3
3/2/2015,Barnechea,Universidad de Concepcion,1,2
4/2/2015,Cobresal,Audax Italiano,3,1
4/2/2015,Antofagasta,San Marcos,0,2
4/2/2015,Unión Española,Colo Colo,1,3
4/2/2015,Wanderers,Universidad Catolica,2,0
5/2/2015,Cobreloa,O'Higgins,0,0
5/2/2015,Ñublense,Union Calera,1,2
25/3/2015,Palestino,Huachipato,1,1
7/2/2015,Huachipato,Universidad de Chile,2,2
7/2/2015,Colo Colo,Barnechea,4,1
7/2/2015,Audax Italiano,Wanderers,2,1
7/2/2015,San Marcos,Cobresal,1,1
8/2/2015,Universidad de Concepcion,Unión Española,1,2
8/2/2015,Iquique,Antofagasta,1,2
8/2/2015,Union Calera,Cobreloa,0,0
8/2/2015,Universidad Catolica,Palestino,3,2
9/2/2015,O'Higgins,Ñublense,1,0
13/2/2015,Barnechea,Iquique,1,0
13/2/2015,Universidad de Chile,Unión Española,1,2
14/2/2015,Antofagasta,Colo Colo,1,2
14/2/2015,Union Calera,Universidad de Concepcion,2,0
15/2/2015,Cobreloa,Cobresal,1,3
15/2/2015,Ñublense,Audax Italiano,1,0
15/2/2015,O'Higgins,Universidad Catolica,1,1
15/2/2015,Palestino,San Marcos,0,4
15/2/2015,Wanderers,Huachipato,0,1
20/2/2015,Barnechea,Ñublense,1,3
21/2/2015,San Marcos,Universidad Catolica,3,3
21/2/2015,Huachipato,Antofagasta,2,0
21/2/2015,Unión Española,O'Higgins,1,2
22/2/2015,Universidad de Concepcion,Universidad de Chile,1,2
22/2/2015,Cobresal,Wanderers,1,0
22/2/2015,Colo Colo,Palestino,1,1
22/2/2015,Iquique,Union Calera,2,1
22/2/2015,Audax Italiano,Cobreloa,1,0
27/2/2015,Wanderers,Universidad de Concepcion,0,0
27/2/2015,O'Higgins,Barnechea,3,1
28/2/2015,Universidad Catolica,Cobresal,2,4
1/3/2015,Palestino,Iquique,2,2
1/3/2015,Cobreloa,San Marcos,1,0
1/3/2015,Ñublense,Colo Colo,0,1
1/3/2015,Antofagasta,Unión Española,1,2
1/3/2015,Union Calera,Huachipato,0,1
2/3/2015,Universidad de Chile,Audax Italiano,2,3
6/3/2015,Unión Española,Wanderers,2,2
6/3/2015,Barnechea,Cobreloa,0,1
7/3/2015,Palestino,O'Higgins,3,3
7/3/2015,Huachipato,Universidad Catolica,3,5
7/3/2015,Iquique,Audax Italiano,3,2
8/3/2015,San Marcos,Universidad de Chile,0,1
8/3/2015,Cobresal,Union Calera,1,1
8/3/2015,Colo Colo,Universidad de Concepcion,3,0
8/3/2015,Ñublense,Antofagasta,0,1
13/3/2015,Universidad de Concepcion,Ñublense,2,2
13/3/2015,O'Higgins,Iquique,1,0
14/3/2015,Universidad de Chile,Colo Colo,1,2
15/3/2015,Cobreloa,Unión Española,1,1
15/3/2015,Antofagasta,Cobresal,2,0
15/3/2015,Universidad Catolica,Barnechea,5,0
15/3/2015,Audax Italiano,Huachipato,2,2
28/3/2015,Union Calera,San Marcos,1,4
1/4/2015,Wanderers,Palestino,0,3
20/3/2015,Audax Italiano,Universidad Catolica,1,1
21/3/2015,Barnechea,Antofagasta,1,3
21/3/2015,Unión Española,Ñublense,1,1
21/3/2015,Huachipato,O'Higgins,3,2
21/3/2015,Colo Colo,Union Calera,1,4
21/3/2015,Iquique,Cobreloa,0,0
21/3/2015,San Marcos,Wanderers,1,3
22/3/2015,Palestino,Universidad de Chile,1,3
22/3/2015,Cobresal,Universidad de Concepcion,2,1
3/4/2015,Colo Colo,Cobresal,1,2
3/4/2015,Ñublense,Iquique,2,0
4/4/2015,Antofagasta,Palestino,1,2
4/4/2015,O'Higgins,Wanderers,1,1
4/4/2015,Union Calera,Audax Italiano,2,2
4/4/2015,Unión Española,Barnechea,2,1
5/4/2015,Universidad Catolica,Universidad de Chile,2,4
5/4/2015,Universidad de Concepcion,San Marcos,3,2
5/4/2015,Cobreloa,Huachipato,6,0
10/4/2015,Universidad Catolica,Union Calera,4,2
11/4/2015,Palestino,Universidad de Concepcion,3,2
11/4/2015,Wanderers,Antofagasta,0,2
11/4/2015,Universidad de Chile,Cobreloa,4,0
11/4/2015,Cobresal,Ñublense,1,0
11/4/2015,San Marcos,O'Higgins,0,0
12/4/2015,Iquique,Unión Española,0,1
12/4/2015,Audax Italiano,Colo Colo,0,1
12/4/2015,Huachipato,Barnechea,4,1
17/4/2015,O'Higgins,Cobresal,2,0
18/4/2015,Colo Colo,Universidad Catolica,0,3
18/4/2015,Cobreloa,Antofagasta,3,1
18/4/2015,Unión Española,Huachipato,0,1
18/4/2015,Ñublense,Wanderers,1,1
19/4/2015,Universidad de Concepcion,Audax Italiano,2,2
19/4/2015,Iquique,San Marcos,4,1
19/4/2015,Barnechea,Universidad de Chile,1,4
19/4/2015,Union Calera,Palestino,4,0
25/4/2015,Palestino,Unión Española,2,3
25/4/2015,Wanderers,Union Calera,4,2
25/4/2015,Antofagasta,Universidad de Concepcion,0,1
25/4/2015,Huachipato,San Marcos,1,0
26/4/2015,Audax Italiano,O'Higgins,3,0
26/4/2015,Cobreloa,Colo Colo,0,4
26/4/2015,Universidad de Chile,Ñublense,2,1
26/4/2015,Cobresal,Barnechea,3,2
26/4/2015,Universidad Catolica,Iquique,3,3
30/4/2015,Barnechea,Palestino,2,1
2/5/2015,Universidad de Concepcion,Universidad Catolica,2,0
2/5/2015,Colo Colo,Wanderers,3,1
2/5/2015,Iquique,Huachipato,1,2
2/5/2015,Unión Española,Cobresal,1,1
3/5/2015,Union Calera,Universidad de Chile,2,1
3/5/2015,O'Higgins,Antofagasta,2,2
3/5/2015,San Marcos,Audax Italiano,3,0
3/5/2015,Ñublense,Cobreloa,3,2
25/7/2015,Unión Española,Colo Colo,1,2
25/7/2015,Wanderers,San Marcos,1,1
25/7/2015,Union Calera,O'Higgins,1,0
26/7/2015,Universidad de Concepcion,Huachipato,2,0
26/7/2015,Iquique,Universidad Catolica,0,2
26/7/2015,Universidad de Chile,Antofagasta,1,1
27/7/2015,Audax Italiano,Palestino,1,1
6/9/2015,Cobresal,San Luis,2,1
7/8/2015,Huachipato,Iquique,2,1
8/8/2015,San Marcos,Cobresal,1,2
9/8/2015,San Luis,Wanderers,0,1
9/8/2015,Colo Colo,Audax Italiano,4,1
9/8/2015,Palestino,Unión Española,2,1
19/8/2015,O'Higgins,Universidad de Chile,2,2
6/9/2015,Antofagasta,Universidad de Concepcion,1,4
6/9/2015,Universidad Catolica,Union Calera,3,1
14/8/2015,Iquique,O'Higgins,2,5
15/8/2015,Unión Española,Huachipato,2,2
15/8/2015,Wanderers,Universidad Catolica,2,2
15/8/2015,Union Calera,San Marcos,1,4
15/8/2015,Audax Italiano,Antofagasta,0,0
16/8/2015,Cobresal,Colo Colo,2,3
16/8/2015,Universidad de Chile,San Luis,4,2
17/8/2015,Universidad de Concepcion,Palestino,1,0
22/8/2015,Palestino,Cobresal,3,1
22/8/2015,Huachipato,Union Calera,1,1
22/8/2015,O'Higgins,Wanderers,1,0
22/8/2015,San Luis,Audax Italiano,0,1
23/8/2015,San Marcos,Universidad de Chile,0,1
23/8/2015,Colo Colo,Iquique,1,0
23/8/2015,Universidad Catolica,Universidad de Concepcion,2,1
24/8/2015,Antofagasta,Unión Española,0,2
28/8/2015,Wanderers,Huachipato,3,1
29/8/2015,Universidad de Concepcion,Cobresal,3,1
29/8/2015,Union Calera,Audax Italiano,1,2
29/8/2015,Iquique,San Luis,2,1
30/8/2015,Antofagasta,Colo Colo,0,1
30/8/2015,Universidad de Chile,Palestino,4,4
30/8/2015,Unión Española,Universidad Catolica,2,0
31/8/2015,O'Higgins,San Marcos,3,1
12/9/2015,Cobresal,Iquique,1,2
12/9/2015,Huachipato,Antofagasta,1,0
13/9/2015,Universidad Catolica,O'Higgins,5,0
13/9/2015,San Luis,Unión Española,0,4
14/9/2015,Palestino,Wanderers,2,0
14/9/2015,Colo Colo,Union Calera,3,1
14/9/2015,San Marcos,Universidad de Concepcion,4,1
15/9/2015,Audax Italiano,Universidad de Chile,3,1
23/9/2015,Universidad de Chile,Cobresal,2,1
25/9/2015,Iquique,Palestino,0,2
26/9/2015,Unión Española,Universidad de Concepcion,2,4
26/9/2015,Huachipato,Universidad Catolica,0,1
26/9/2015,Wanderers,Union Calera,3,0
26/9/2015,Antofagasta,San Marcos,0,1
27/9/2015,San Luis,Colo Colo,0,1
28/9/2015,O'Higgins,Audax Italiano,3,2
2/10/2015,San Marcos,Huachipato,2,0
3/10/2015,Palestino,O'Higgins,1,0
3/10/2015,Universidad de Concepcion,San Luis,1,0
3/10/2015,Universidad de Chile,Unión Española,1,1
4/10/2015,Universidad Catolica,Colo Colo,2,1
4/10/2015,Cobresal,Wanderers,2,0
4/10/2015,Union Calera,Antofagasta,2,0
4/10/2015,Audax Italiano,Iquique,2,1
15/10/2015,Cobresal,Audax Italiano,1,2
15/10/2015,O'Higgins,Huachipato,1,0
16/10/2015,San Luis,Palestino,6,2
